('__HVKcFKVdr6lVFH2rdQVw', 'Bee', 'Philadelphia, PA', 'October 2007', 6L, 70L, 7L, None, '6-57-20', 7L, datetime.datetime(2013, 12, 7, 17, 21, 42))
('I0Vt1g8iK0D_cxXkJyXb0A', 'Sean F.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 57, 42))
('i1ODtmKGcLLSAao6Yb3TbA', 'Steven M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 7))
('i29CHxCG9DpqxECSfW-8-A', 'Melanie D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 17, 8))
('I2TiCNaIjAXcTgXYVkkIVg', 'K B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 59, 18))
('I30Q5xP79wRuEWJyfiiarw', 'Kristine d.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 15, 52))
('I38N6igCqw8Nfb7FVTmdYQ', 'Andy P.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 46, 14))
('i3nBWZbRMIJpUGYBl2Kz2Q', 'Sue S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('i43ORe6CtwJ3PyTiwUA8Hg', 'Nicholas M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 16, 22))
('i4boWo8uxwLVz2OPj4sNFA', 'Jill S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 48, 45))
('I51PJqK8pZ7p8avdc5elNw', 'Ava C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('i5TFPOK5f82bxBV4JMIphg', 'Jillian L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 8, 32))
('I6B-COW6X7EATIQBH1gYLg', 'Kelly B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 22, 20))
('i6BGvRB1SIKuHk3QPHPBsA', 'Craig H.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 5, 13))
('I8__PdVQ7e5z9i_HmqgdJA', 'Cara P.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('i9r3Ba2cIMCgUYWZfPqM9Q', 'EA E.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 7))
('Ia9mPjscmI0G7jMOxgaoRw', 'Michelle T.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 56, 19))
('ibaM_CzRajTb2HZQlHQUwA', 'Josh J.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 19, 8))
('ibdRYdVWCHewT6tEyRXsFw', 'Sarah R.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 48, 45))
('iBOGzKnVB1W31yh0lW67-A', 'Anthony S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('ibPS1VlfDB8izKIpCTUpwQ', 'Chas P.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('Ic-BsMDBbfjXQQMuUFh5PQ', 'Amber W.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 14, 11))
('ID3yAVONjjl4h2YQTXHluw', 'Dana M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 48, 20))
('iD737mT5Xq34iFHUN-D7Tw', 'Jess H.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 14, 12))
('IDOZi6Bc8L_QQvtgKDrkqw', 'Skinny C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 51, 34))
('ie9VaHvAaQgjMJP3Gn-AQQ', 'John F.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 14, 50))
('IEcTTq4A8NvS516XOWXv_w', 'Lauren T.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 47))
('ieddiannWKFvVmBGS778Vw', 'Vincent F.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 15, 45))
('iEQHAu1sJIkjAgaB0eh1JQ', 'Megan K.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 15, 57))
('IEvHRP2gZcRSlWsKFdj3nA', 'Erin M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('IezLsbBNvQ3cQWJXlomF6w', 'Nik K.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 0, 48))
('IFEFqjBjDU1O1u2vUbd4cg', 'Benjamin O.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 6, 52))
('ifpOTZ3LLfOLFoMzkST9uw', 'Elizabeth M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 6, 52))
('IgcTRsIY6fqxJi80BqJbTA', 'Brian B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 15, 52))
('IGLw0YroIeUY2hcjFGIo5w', 'jeremiah s.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 42))
('IH0KG2P-v8JtzgBZQrCxyA', 'Philip M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 48, 35))
('Ih7_2rkWb0majHHAL1yS_g', 'Justin N.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('iHKSR7Dvy1eINaL-E5WQ0w', 'Jeannie S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 30))
('IhVKEBPVKI_lWpb2wOro2A', 'AJ B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 58, 18))
('iHxyk1JQhWX_xA4GUE7ztg', 'Christine S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('Ii4fgwfnyv9l8S_7p-nkkA', 'Stacey S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 51, 34))
('iI9zvXo8CAuGEhxw2dkvvA', 'Krystina K.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('iiHHXO62XnoKKRZqLcm9BQ', 'Kevin F.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 52, 45))
('iiN_NGROs6Png8VWn6YfzA', 'cade s.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 49))
('IIpNUrypEu-kC64_WNoLPw', 'Josh M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 7, 40))
('iiu3bqTQyXy2Eu-jzO0T2Q', 'Larissa M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 14, 42))
('iiV6NXch5T2SkgzMgwolzQ', 'Claire R.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('IjaFggQWriqk2rWv6RpPvg', 'Megan S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 46))
('ijdfB85U-l5hQ3ZFneddxg', 'Anton B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 7, 16))
('iJiWgNrcQMCKkgUaoYOe0A', 'Ben V.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('IKBCRrpEogE5mfiIx84upQ', 'Amy E.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 42))
('IKbjLnfBQtEyVzEu8CuOLg', 'Erica C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('IlbqI2QmRgT-QnjAnv7Y_g', 'Chris M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('ILcfea_jMMMl-GWTaTrPUQ', 'Flint W.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('ILicYV0XNcbfiWEgWlIZ8g', 'Lauren B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 15, 52))
('IlMeaZRtJZlVIXt7_A-UZw', 'Anna P.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 45, 53))
('ILQP-O68qWK3r4eNgfrWtQ', 'Rob W.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 6, 52))
('iLuOmFMI3_DZaaoOxLtIRA', 'Karen J.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 47))
('iLyPTDYnvAWbOmvFdl1T6g', 'Jonathan S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 42))
('IM3D-RlB19foUTlGVuhQpA', 'Chris B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('iMAQg9C20QFfrpzvRAPGYQ', 'A. Jordan R.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('imGQirCh-t_Kftb4U7VuUA', 'Matt D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 57, 21))
('iMlp7UCZZMUMVoLHcmuIpw', 'Sally F.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 2, 47))
('ImpJbfNAxSKcT0ZZp5Ykbw', 'Lisa I.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 46, 14))
('imxuGvcKc2jI0IVh3n_q5A', 'Joe K.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('InfIEHrGuAOJhhPxNTT8_A', 'Kirsten H.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 48, 45))
('InMdc-2a89AixTMHxpQiMw', 'Matt M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 45, 53))
('iNMIYJSXpIAsNyDMYmDMYw', 'Allison N.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('IoEJBuQ8mhFgxvQS8E8eDw', 'Jason F.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 7, 27))
('IOGQdne70btVyDfZOiChgQ', 'Byron L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 57, 30))
('ioJ6EXkvatSm634gOL_WQA', 'Jackie G.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 50))
('iOK6wGmwwIl-pVCUjTNJNw', 'Norman V.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 4, 5))
('IoS8IZai5Yfa3ULgO1ktKw', 'Jerry W.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 48, 45))
('IP8P9iE4K4o6F2DV0vLuqg', 'A J.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 8, 2))
('IPBXsCQIhjXfGGfY4kDDVA', 'Cynthia D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('IpLRJY4CP3fXtlEd8Y4GFQ', 'Robyn H.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 15, 52))
('ipstEfBIzzPNnR-igORpYQ', 'Stephanie R.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 22, 20))
('IPsX5S75PBkHn3EFX7v_sA', 'Ken M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('IpYw-Ygpoo9gI4s-Mwrc1g', 'Dock S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 18))
('Iq01HVPaGAJYJXUaCq3Dyw', 'Lauren C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 2))
('iQlKV9nfmzQvpDAThiiU3g', 'Hayley Sara B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('IqMsWuhj_rfSpgZ8yvlWaw', 'Jeanne M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 7, 10))
('iqomnX7jpcVOtAJWo0qmvA', 'Shadia S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 14, 37))
('Ir7GNc2efqz7S_p-1d3E2g', 'William A.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 42))
('iRPGY02VkT5qW3iszBl_yg', 'Molly R.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 47))
('irQKnPmdh4DbUA72K78cRg', 'Matthew G.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 23))
('irRW5uJ46wk3TXFAY_Egeg', 'T-House Screen\xe2\x80\xa6', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 47, 37))
('is_AH3PTwVmhozWyqXXKyw', 'Busybee\xe2\x80\xa6', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 31))
('iS-7y8y70SfZX7o2wNq_uw', 'Cara V.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 46))
('iSfgEDDKrWgjkxW5KcNzdg', 'Laura P.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('isjDMy8Kj2JfDBurY7yLvQ', 'Laura D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('iSKlVomUhAS_1xKNHf91tQ', 'Shannon B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 47, 37))
('it27xs8sb2jZ_LCPVzdcqw', 'Brent K.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('ITBK-Ktwsst6J-GGnAmjXg', 'e h.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 7, 40))
('itcyGJsassJ0iutr0gBMjg', 'Khanh V.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 8, 32))
('itm7J1IWFo3YGBwcZUin9g', 'Quynh N.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 54, 28))
('ItzNM0ov3pOHWoDqecPm7A', 'Chris R.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 16, 3))
('IUcK3rz8Ah8B07TnL1LyQg', 'Tiffany N.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 57, 42))
('iUI1cjLjQj6oPmPm2Qn5yg', 'Jennifer A.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('iUqkK_3r5qMS3eE0cQDZMg', 'Tanya T.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 22, 25))
('Iv6M57tLTs4hzz6hoe6BUg', 'Yuval Y.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 8, 10))
('IVnVJm23HBLB4K7ZqMNJwQ', 'Liz Q.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 47, 37))
('IWp7diNiU3Gm1vfhhwG5Lw', 'Hunter F.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('ixDzjnXGmcropkoXiElNAA', 'Eugenia C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('IxL3zvBEH7mkBCXnJHixWA', 'E\xc3\xa1n F.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 57, 4))
('IXQbKIr2t4ups7AZ5rUI9g', 'Capri D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 46, 40))
('iya8VVcoH21j2GBmqfDZ-g', 'Catherine K.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('IYk7VU99oDRWHMGw1Xu0KA', 'R D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 16, 22))
('iYWdulEIKuZbLEJ1V1Hj0w', 'Adam R.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 58, 52))
('iYXQCx7IWJslr_WTLjn6lw', 'Sarah K.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 2, 11))
('IyZvF8H4NmrbJLXIAHiQvg', 'Tamika S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 0, 57))
('iZKJfYxUMxPsVWqUQjBuYA', 'Jonathan H.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 7))
('j_Boe9Nnfj3nk0tDcbRMNQ', 'Sean C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('J-puAU45M7huu0bp0_BhTA', 'Quinn C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 56, 47))
('J-y_eTSnRssRwyQoEWX-fg', 'mishel c.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 47))
('j0uxnjqvRrcZLFYQiNFwRQ', 'Thomas B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 2))
('J16U_8syhzFvhkJuPhi_CQ', 'Emily K.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('j1hbKfauIXalPOzkjR744w', 'Shonta c.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('j1NRA6_1xV--m9iBNZEPRw', 'Gina R.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('J2sQeVdftbGpNb8zRgtakw', 'Meredith R.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 6, 52))
('j3W0O0HKKpux-plp1vBOSg', 'Doug D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('J4--ySB9Q3zP49IsoQPmMQ', 'Dee C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 42))
('j4AIOda888gkIKnX2QdVBg', 'Kerri S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 48, 20))
('J4HSWXSi657cWvGTIejlNA', 'jenny f.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('j4J136cj4mfg01ZpCHbnpQ', 'Crafty B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 46))
('j5_1qyZabA4MrUKT9BcOKQ', 'Igal K.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 16, 21))
('J5f-cRXIHcclbHBiR2gWBw', 'Jixolet M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 2, 47))
('j5rlV6XsBvmV3JIypF_TPg', 'Heidi T.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 15, 26))
('J5zjhwJ4yrZU5KC66KNR1g', 'Alexandra D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 19))
('j6MhudOkFIDNS90rHgAD7Q', 'Cccc B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('J7ApTF5tRD2QjHkmRBtOUw', 'Pete G.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 8, 2))
('J84DO2SOxTD4OBy0M2JYZA', 'Jonathan O.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 48, 45))
('j84sng6u1a60lNPBGaWZRA', 'Chris C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 5, 39))
('J8MD1uUXkSbyL3uahxpz6g', 'Carrie A.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 14, 37))
('jASzEHxHrL7bimIVvjAx1g', 'Xai C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 6, 52))
('jAxC253kDjL3BGpk2Yi_Jw', 'Kholi C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 6, 52))
('jbyaV7fNmG0mrnPjLB5-sA', 'Kaki C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('jC6t-BpW-R_lNCeJ0687ag', 'Ellis L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 9, 57))
('JcKxJhdesY1X6Jl55DcPfA', 'Tiff G.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 42))
('jdjToi27p_0WbGcM64A-Fw', 'Christina F.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('JelX-iqiVKOvegK8cx6F0Q', 'Jason Lee O.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 15, 56))
('JEok3thIfL441WvAptK18w', 'Veronika C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('jERGKaCFjmMxpTP4CyePqA', 'Lyuba B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 6, 19))
('jFa0AJhrOYS4D6vedbIVrA', 'Jonny S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 55))
('JfqWfLhzpU60W-7OFODP-g', 'Megan M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('JfXMd31U7gr-_n2iXHPnag', 'Jennifer N.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('Jg45SpZLJsBIm7nVZWmb-Q', 'Jillian G.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 42))
('jgANN8CG5_zFW8ew8TJqPw', 'Stacy P.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 52, 45))
('JgvS9DsiJRcXwhVKJB1oYg', 'Kathy T.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 45, 53))
('JHByQBEOu_8mnb8NBevEUQ', 'Steve L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 8, 2))
('jhhufHoWHoqCz9w7gKJIyA', 'Karl D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 14, 37))
('jHItJIQp2v2kJOrAGWkolQ', 'Shana K.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 19))
('JhrA6YsqjEn3kv7JPNLKZQ', 'Cathy W.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('JI8l8OtWkun2s24rvQNX2g', 'Jonelle G.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 14, 12))
('JJBAToBm_S8EFn8G5gSpHw', 'Terry C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('JJF7J3UXCNSwCXAP4LojtQ', 'Lauren R.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 42))
('jK_SY5ciS1IL82Cf3Ed1_w', 'James B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 22))
